

START 
14. februar 2022
14:55



#SCAN
Scan1axis 2, 0.000, 40.000, 390, 1
"Scan1axis motor, start, stop, steps, counttime"
Positions:
1:+0.0000deg; 2:+0.0000deg; 3:+0.0000mm; 4:+0.0000mm; 
Motorpos, Counts

# mv 2, -0.900000
18.920	12
19.023	14
19.126	14
19.229	18
19.332	8
19.434	23
19.537	14
19.640	9
19.743	18
19.846	13
19.949	21
20.051	15
20.154	12
20.257	14
20.360	7
20.463	16
20.566	12
20.668	16
20.771	26
20.874	40
20.977	121
21.080	171
21.183	383
21.285	395
21.388	220
21.491	124
21.594	71
21.697	30
21.799	10
21.902	15
22.005	23
22.108	11
22.211	17
22.314	12
22.416	10
22.519	12
22.622	5
22.725	15
22.828	9
22.931	11
23.033	16
23.136	12
23.239	3
23.342	11
23.445	13
23.548	14
23.650	8
23.753	14
23.856	12
23.959	14
24.062	8
24.165	12
24.267	11
24.370	15
24.473	11
24.576	17
24.679	45
24.781	139
24.884	169
24.987	213
25.090	197
25.193	87
25.296	48
25.398	32
25.501	20
25.604	11
25.707	18
25.810	15
25.913	7
26.015	10
26.118	9
26.221	9
26.324	12
26.427	9
26.530	9
26.632	13
26.735	9
26.838	9
26.941	12
27.044	12
27.147	16
27.249	10
27.352	16
27.455	15
27.558	9
27.661	14
27.763	8
27.866	9
27.969	7
28.072	10
28.175	14
28.278	5
28.380	11
28.483	17
28.586	11
28.689	12
28.792	8
28.895	14
28.997	14
29.100	11
29.203	11
29.306	20
29.409	15
29.512	10
29.614	15
29.717	13
29.820	15
29.923	30
30.026	32
30.129	58
30.231	73
30.334	53
30.437	37
30.540	30
30.643	14
30.746	11
30.848	12
30.951	12
31.054	15
31.157	8
31.260	14
31.362	6
31.465	13
31.568	9
31.671	13
31.774	11
31.877	7
31.979	6
32.082	11
32.185	8
32.288	10
32.391	8
32.494	14
32.596	11
32.699	19
32.802	38
32.905	69
33.008	91
33.111	86
33.213	51
33.316	49
33.419	21
33.522	19
33.625	6
33.728	10
33.830	8
33.933	16
34.036	9
34.139	14
34.242	11
34.344	8
34.447	12
34.550	11
34.653	15
34.756	4
34.859	21
34.961	9
35.064	6
35.167	12
35.270	13
35.373	16
35.476	4
35.578	7
35.681	9
35.784	12
35.887	11
35.990	8
36.093	12
36.195	8
36.298	8
36.401	13
36.504	4
36.607	12
36.710	15
36.812	12
36.915	12
37.018	23
37.121	112
37.224	103
37.326	108
37.429	90
37.532	49
37.635	44
37.738	16
37.841	18
37.943	15
38.046	9
38.149	14
38.252	5
38.355	11
38.458	7
38.560	9
38.663	16
38.766	10
38.869	5
38.972	15
39.075	8
39.177	12
39.280	14
39.383	22
39.486	49
39.589	59
39.692	49
39.794	39
39.897	36
40.000	24

# mv 2, 0.0000


START 
14. februar 2022
15:48



#SCAN
Scan1axis 2, 0.000, 40.000, 390, 1
"Scan1axis motor, start, stop, steps, counttime"
Positions:
1:+0.0000deg; 2:+0.0000deg; 3:+0.0000mm; 4:+0.0000mm; 
Motorpos, Counts

# mv 2, -0.900000
0.000	0
0.103	0
0.206	0
0.308	0
0.411	0
0.514	0
0.617	2
0.720	18
0.823	45
0.925	71
1.028	86
1.131	85
1.234	90
1.337	81
1.440	90
1.542	94
1.645	96
1.748	110
1.851	103
1.954	99
2.057	106
2.159	101
2.262	93
2.365	85
2.468	105
2.571	80
2.674	122
2.776	99
2.879	93
2.982	93
3.085	87
3.188	87
3.290	88
3.393	63
3.496	74
3.599	74
3.702	87
3.805	84
3.907	72
4.010	92
4.113	89
4.216	87
4.319	90
4.422	83
4.524	84
4.627	106
4.730	89
4.833	93
4.936	79
5.039	114
5.141	100
5.244	93
5.347	78
5.450	69
5.553	74
5.656	74
5.758	70
5.861	65
5.964	58
6.067	68
6.170	52
6.272	52
6.375	55
6.478	73
6.581	71
6.684	54
6.787	59
6.889	41
6.992	48
7.095	58
7.198	42
7.301	51
7.404	48
7.506	54
7.609	43
7.712	60
7.815	51
7.918	55
8.021	33
8.123	54
8.226	48
8.329	44
8.432	59
8.535	47
8.638	38
8.740	45
8.843	39
8.946	58
9.049	57
9.152	50
9.254	59
9.357	59
9.460	59
9.563	63
9.666	68
9.769	59
9.871	55
9.974	49
10.077	48
10.180	66
10.283	51
10.386	43
10.488	54
10.591	53
10.694	59
10.797	55
10.900	47
11.003	44
11.105	47
11.208	41
11.311	41
11.414	53
11.517	32
11.620	57
11.722	42
11.825	38
11.928	38
12.031	37
12.134	37
12.237	37
12.339	51
12.442	58
12.545	87
12.648	96
12.751	145
12.853	192
12.956	219
13.059	181
13.162	113
13.265	77
13.368	50
13.470	63
13.573	40
13.676	41
13.779	35
13.882	32
13.985	50
14.087	73
14.190	88
14.293	164
14.396	288
14.499	309
14.602	196
14.704	93
14.807	38
14.910	36
15.013	31
15.116	36
15.219	32
15.321	32
15.424	26
15.527	22
15.630	19
15.733	21
15.835	27
15.938	27
16.041	23
16.144	26
16.247	18
16.350	17
16.452	19
16.555	16
16.658	22
16.761	26
16.864	29
16.967	16
17.069	12
17.172	30
17.275	23
17.378	26
17.481	30
17.584	23
17.686	19
17.789	24
17.892	31
17.995	26
18.098	56
18.201	101
18.303	144
18.406	167
18.509	108
18.612	66
18.715	36
18.817	23
18.920	15
19.023	25
19.126	21
19.229	33
19.332	22
19.434	27
19.537	28
19.640	21
19.743	20
19.846	30
19.949	23
20.051	25
20.154	47
20.257	68
20.360	120
20.463	218
20.566	156
20.668	89
20.771	46
20.874	26
20.977	21
21.080	28
21.183	26
21.285	27
21.388	26
21.491	32
21.594	19
21.697	21
21.799	20
21.902	20
22.005	13
22.108	21
22.211	26
22.314	21
22.416	54
22.519	58
22.622	51
22.725	46
22.828	27
22.931	26
23.033	23
23.136	23
23.239	18
23.342	16
23.445	10
23.548	19
23.650	25
23.753	22
23.856	25
23.959	25
24.062	29
24.165	28
24.267	28
24.370	24
24.473	15
24.576	21
24.679	14
24.781	30
24.884	25
24.987	45
25.090	63
25.193	71
25.296	65
25.398	30
25.501	31
25.604	17
25.707	18
25.810	24
25.913	33
26.015	29
26.118	45
26.221	27
26.324	26
26.427	22
26.530	14
26.632	24
26.735	21
26.838	19
26.941	22
27.044	14
27.147	22
27.249	18
27.352	18
27.455	27
27.558	15
27.661	14
27.763	21
27.866	22
27.969	19
28.072	22
28.175	11
28.278	18
28.380	14
28.483	14
28.586	24
28.689	15
28.792	21
28.895	37
28.997	40
29.100	80
29.203	94
29.306	66
29.409	51
29.512	34
29.614	19
29.717	20
29.820	22
29.923	23
30.026	22
30.129	19
30.231	13
30.334	26
30.437	24
30.540	19
30.643	24
30.746	17
30.848	14
30.951	16
31.054	15
31.157	21
31.260	26
31.362	26
31.465	18
31.568	16
31.671	26
31.774	29
31.877	35
31.979	44
32.082	47
32.185	45
32.288	38
32.391	40
32.494	46
32.596	54
32.699	70
32.802	58
32.905	33
33.008	20
33.111	22
33.213	21
33.316	14
33.419	23
33.522	21
33.625	10
33.728	19
33.830	18
33.933	32
34.036	13
34.139	14
34.242	15
34.344	16
34.447	21
34.550	14
34.653	20
34.756	19
34.859	16
34.961	18
35.064	22
35.167	17
35.270	13
35.373	12
35.476	15
35.578	11
35.681	30
35.784	49
35.887	48
35.990	42
36.093	31
36.195	22
36.298	17
36.401	12
36.504	15
36.607	17
36.710	10
36.812	16
36.915	14
37.018	18
37.121	20
37.224	23
37.326	20
37.429	14
37.532	13
37.635	16
37.738	22
37.841	9
37.943	12
38.046	16
38.149	10
38.252	13
38.355	13
38.458	16
38.560	7
38.663	12
38.766	17
38.869	9
38.972	15
39.075	10
39.177	12
39.280	13
39.383	18
39.486	30
39.589	26
39.692	23
39.794	24
39.897	23
40.000	19

# mv 2, 0.0000
